rowid,name,vote_share,elected,seats,position,female,party,religion_new,total_exp_mil
1277,"H. MUHAMMAD SYAFRUDIN, ST, MM",3.34254837,1,10,1,0,PAN,Muslim,551.25
6528,GUSTI DENNIE TRIFITRA U,0.061901234,0,10,7,0,Justice and Unity,Muslim,65.72000122
3611,"NUNIK ENDANG SUNARSIH, S.IP, M.Sc",0.300276756,0,8,5,1,PAN,Muslim,119.9300003
128,"ONO SURONO, ST",5.821344376,1,9,3,0,PDI-P,Muslim,609.6734619
3643,"M. SHOLEH, SH",1.198496938,0,10,6,0,Gerindra,Muslim,NA
3183,"JONNY BUYUNG SARAGIH, SH, MH",2.250447273,0,10,5,0,PD,Christian,800
4463,"ZAINAL MUNIR, SH",0.073920146,0,9,6,0,PPP,Muslim,148
4423,"DRS. H. A. BAIDAWI JABBAR, MM",0.22410509,0,7,4,0,NasDem,Muslim,NA
5006,Hj. SYAFIDAWATI TJAJA,0.648073137,0,4,4,1,Golkar,Muslim,83.40000153
464,"ANIS KHOIRUNNISA, STh. I",2.104833603,0,9,1,1,PPP,Muslim,6
4047,"ANIDA FARIROH ASROR, SH, Sp.N",0.155989304,0,7,6,1,PPP,Muslim,NA
6151,"BAIDOWI, S.Sos",3.377893686,0,8,8,0,PPP,Muslim,96.94999695
5367,dr. ALDINI RIZKI RACHMAN,0.048220802,0,9,8,1,PKB,Muslim,40
6135,"Prof. Dr. Y.V.A. RIONO, MPH,PhD",0.07942421,0,10,9,0,PAN,Christian,NA
2106,"DRA. NINING INDRA SHALEH, M.SI",2.319622278,0,9,1,1,NasDem,Muslim,NA
3754,Prof. DR. RITA SIHOTANG CUSSOY,0.102689393,0,7,6,1,People's Conscience,Christian,NA
6449,"OKTO WIRYAWAN SUBAGYO,S.Sos",0.284565598,0,8,7,0,PD,Muslim,498.3999939
4726,ADANG KOSMA WIJAYA,0.28432849,0,8,4,0,NasDem,Muslim,NA
3811,"HJ. PURWATI, MBA",0.406301975,0,8,6,1,Golkar,Muslim,277
966,EMI SUSANTI,0.642872334,0,8,1,1,PKB,NA,103.189003
5799,Ir. M. SUBUR SEMBIRING,0.553207994,0,10,10,0,PD,Muslim,257.2099915
6085,"Dr. H.M. RASYID RIDHO, SH, MH",1.382305026,0,9,7,0,PDI-P,Muslim,814.6503296
2087,"HJ. ANNA MU'AWANAH, SE., MH",10.98857021,1,6,1,1,PKB,Muslim,505.7500305
5198,Ir. SUPARTONO,2.038354635,0,8,5,0,Golkar,Muslim,446.6499939
3014,ETTY MUSNIHATTY,0.590343595,0,9,4,1,Golkar,Muslim,200
1937,Ir. H. SOEPRIYATNO,5.576602936,1,7,1,0,Gerindra,Muslim,475.5
5080,"H.ACHMAD FAUZAN H, SH, M. KOM. I",7.01625967,1,6,6,0,PPP,Muslim,NA
3575,"H. MUHAMMAD LUTFI, SE",3.169872522,1,10,5,0,Golkar,Muslim,400
1183,"NOURA DIAN HARTARONY, SE",0.637639761,0,9,3,1,Gerindra,Muslim,NA
5429,"NUSIRWAN. SE, SH",0.025897695,0,10,10,0,PAN,Muslim,NA
3056,TETY ROSMIYATI,0.020118492,0,10,6,1,Justice and Unity,Muslim,NA
3981,"H. MORKES EFFENDI, S.Pd, MH.",3.171017885,0,10,4,0,Golkar,Muslim,275
2316,"Drs. BUSMAN RAHMAN, MA",0.502469718,0,3,3,0,PPP,Muslim,1
4105,"AGUS SEPTIMA RIDWAN, SH",0.013741407,0,9,6,0,Crescent Star,Muslim,26
2719,"ANDI ICE FANDRIANI NUR, SE.Ak.",0.274872661,0,9,3,1,NasDem,Muslim,NA
3778,"H. ANDI UNTUNG AP, SE, MM",0.872556806,0,9,5,0,PAN,Muslim,NA
3194,H. BAMBANG S. SYUKUR,0.258353621,0,6,4,0,NasDem,Muslim,NA
3289,"Drs. DJAFRI R, MM",0.167753398,0,7,4,0,PKB,Muslim,300
589,Drs. H. ABDUL KADIR MAKARIM,0.677344799,0,6,1,0,PPP,Muslim,49
