"","q33","q35","q36","q37","q44","q61","q139","se2","se3_1","se3_2","se4","se5","se5a","se6","se7","se7a"
"1",1,2,2,2,4,2,3,1,1990,27,1,8,17,40,1,2
"2",1,2,2,2,3,4,2,2,-1,-1,9,9,-1,40,1,2
"3",2,2,2,2,4,3,2,1,1930,87,4,1,-1,40,1,2
"4",1,2,2,2,3,3,3,2,1962,55,4,5,9,40,1,2
"5",1,2,2,2,4,4,4,1,1968,49,2,7,12,40,1,2
"6",1,2,2,2,4,2,3,2,1959,58,2,3,6,40,1,1
"7",1,2,2,2,3,3,4,1,1970,47,2,7,12,40,1,2
"8",1,2,1,2,4,3,2,2,1963,54,4,3,6,40,1,2
"9",1,2,2,2,3,2,2,1,1961,56,2,9,15,40,1,2
"10",1,2,2,2,3,2,2,2,1980,37,2,9,15,40,1,2
"11",1,2,2,2,3,9,3,1,1966,51,2,6,11,40,1,2
"12",1,2,8,2,3,3,2,2,1964,53,2,1,-1,40,1,2
"13",1,2,2,2,3,3,2,1,1969,48,2,6,8,40,1,2
"14",1,1,2,2,3,2,7,2,1950,67,2,2,5,40,1,2
"15",1,2,2,2,2,2,2,1,1952,65,2,5,9,40,1,1
"16",1,2,2,2,2,8,2,2,1973,44,2,3,6,40,1,2
"17",1,2,2,2,3,2,2,1,1976,41,2,3,6,40,1,2
"18",1,2,2,2,2,2,2,2,1965,52,2,4,8,40,1,1
"19",1,1,2,1,1,3,2,1,1970,47,2,7,12,40,1,1
"20",1,2,2,2,3,1,2,2,1976,41,2,9,15,40,1,1
"21",1,2,2,2,2,1,2,1,1957,60,2,1,-1,40,1,2
"22",1,2,2,2,4,2,2,2,1983,34,2,7,9,40,1,2
"23",1,2,2,2,4,2,2,1,1982,35,2,3,6,40,1,2
"24",2,2,2,2,4,2,8,2,1977,40,2,2,2,40,1,3
"25",1,2,2,2,2,2,2,1,1981,36,2,3,6,40,1,2
"26",1,2,2,2,2,2,2,2,1968,49,2,3,6,40,1,2
"27",1,2,2,2,3,2,8,1,1993,24,1,7,-1,40,1,3
"28",2,2,2,2,4,1,2,2,1943,74,2,2,2,40,1,2
"29",1,2,2,2,2,2,2,1,1982,35,2,7,9,40,1,2
"30",1,2,2,2,1,2,2,2,1987,30,2,7,9,40,1,3
